%
% Platform OB27M
% Location 33 59.646 deg N  77 21.144 deg W
% Quality  0 = not evaluated, 1 = bad, 2 = suspect, 3 = good, -9 = missing
%
% conductivity (siemens)
% depth (m)
%
timestamp_utc,depth,conductivity,conductivity_quality
2009-10-11 14:15:01,30,5.56608,0
2009-10-11 14:30:01,30,5.56692,0
2009-10-11 14:45:01,30,5.5673,0
2009-10-11 15:00:01,30,5.56784,0
2009-10-11 15:15:01,30,5.56721,0
2009-10-11 15:30:01,30,5.56843,0
2009-10-11 15:45:01,30,5.56984,0
2009-10-11 16:00:01,30,5.57043,0
2009-10-11 16:15:01,30,5.57079,0
2009-10-11 16:30:01,30,5.57117,0
2009-10-11 16:45:01,30,5.57274,0
2009-10-11 17:00:01,30,5.57369,0
2009-10-11 17:15:01,30,5.57337,0
2009-10-11 17:30:01,30,5.57342,0
2009-10-11 17:45:01,30,5.57323,0
2009-10-11 18:00:01,30,5.57344,0
2009-10-11 18:15:01,30,5.57144,0
2009-10-11 18:30:01,30,5.56981,0
2009-10-11 18:45:01,30,5.56876,0
2009-10-11 19:00:01,30,5.56537,0
2009-10-11 19:15:01,30,5.56367,0
2009-10-11 19:30:01,30,5.56115,0
2009-10-11 19:45:01,30,5.56007,0
2009-10-11 20:00:01,30,5.55771,0
2009-10-11 20:15:01,30,5.55604,0
2009-10-11 20:30:01,30,5.55455,0
2009-10-11 20:45:01,30,5.55301,0
2009-10-11 21:00:01,30,5.55204,0
2009-10-11 21:15:01,30,5.55085,0
2009-10-11 21:30:01,30,5.55023,0
2009-10-11 21:45:01,30,5.54964,0
2009-10-11 22:00:01,30,5.5494,0
2009-10-11 22:15:02,30,5.54888,0
2009-10-11 22:30:02,30,5.54805,0
2009-10-11 22:45:02,30,5.54724,0
2009-10-11 23:00:02,30,5.54662,0
2009-10-11 23:15:02,30,5.54611,0
2009-10-11 23:30:02,30,5.545,0
2009-10-11 23:45:02,30,5.54517,0
2009-10-12 00:00:02,30,5.54325,0
2009-10-12 00:15:02,30,5.54196,0
2009-10-12 00:30:02,30,5.54075,0
2009-10-12 00:45:02,30,5.53887,0
2009-10-12 01:00:02,30,5.53757,0
2009-10-12 01:15:02,30,5.53599,0
2009-10-12 01:30:02,30,5.53137,0
2009-10-12 01:45:02,30,5.53161,0
2009-10-12 02:00:02,30,5.53174,0
2009-10-12 02:15:02,30,5.53118,0
2009-10-12 02:30:02,30,5.52906,0
2009-10-12 02:45:02,30,5.52836,0
2009-10-12 03:00:02,30,5.52825,0
2009-10-12 03:15:02,30,5.52817,0
2009-10-12 03:30:02,30,5.52772,0
2009-10-12 03:45:02,30,5.52852,0
2009-10-12 04:00:02,30,5.52844,0
2009-10-12 04:15:02,30,5.52944,0
2009-10-12 04:30:02,30,5.52989,0
2009-10-12 04:45:02,30,5.53037,0
2009-10-12 05:00:02,30,5.5308,0
2009-10-12 05:15:02,30,5.53107,0
2009-10-12 05:30:02,30,5.53107,0
2009-10-12 05:45:02,30,5.53158,0
2009-10-12 06:00:01,30,5.53201,0
2009-10-12 06:15:01,30,5.53166,0
2009-10-12 06:30:01,30,5.53193,0
2009-10-12 06:45:01,30,5.53163,0
2009-10-12 07:00:01,30,5.53131,0
2009-10-12 07:15:01,30,5.53005,0
2009-10-12 07:30:01,30,5.52981,0
2009-10-12 07:45:01,30,5.52946,0
2009-10-12 08:00:01,30,5.52948,0
2009-10-12 08:15:01,30,5.52935,0
2009-10-12 08:30:01,30,5.52817,0
2009-10-12 08:45:01,30,5.5275,0
2009-10-12 09:00:01,30,5.52623,0
2009-10-12 09:15:01,30,5.52511,0
2009-10-12 09:30:01,30,5.52232,0
2009-10-12 09:45:01,30,5.52055,0
2009-10-12 10:00:01,30,5.5186,0
2009-10-12 10:15:01,30,5.51567,0
2009-10-12 10:30:01,30,5.51402,0
2009-10-12 10:45:01,30,5.5126,0
2009-10-12 11:00:01,30,5.51003,0
2009-10-12 11:15:01,30,5.50693,0
2009-10-12 11:30:01,30,5.50407,0
2009-10-12 11:45:01,30,5.49991,0
2009-10-12 12:00:01,30,5.49682,0
2009-10-12 12:15:01,30,5.4961,0
2009-10-12 12:30:01,30,5.49405,0
2009-10-12 12:45:01,30,5.49157,0
2009-10-12 13:00:01,30,5.49077,0
2009-10-12 13:15:01,30,5.49059,0
2009-10-12 13:30:01,30,5.4921,0
2009-10-12 13:45:01,30,5.49295,0
2009-10-12 14:00:01,30,5.49538,0
2009-10-12 14:15:01,30,5.49735,0
2009-10-12 14:30:01,30,5.49873,0
2009-10-12 14:45:01,30,5.49937,0
2009-10-12 15:00:01,30,5.49935,0
2009-10-12 15:15:01,30,5.50255,0
2009-10-12 15:30:01,30,5.50265,0
2009-10-12 15:45:01,30,5.50303,0
2009-10-12 16:00:01,30,5.50423,0
2009-10-12 16:15:01,30,5.5058,0
2009-10-12 16:30:01,30,5.50679,0
2009-10-12 16:45:01,30,5.5069,0
2009-10-12 17:00:01,30,5.50767,0
2009-10-12 17:15:01,30,5.50842,0
2009-10-12 17:30:01,30,5.50909,0
2009-10-12 17:45:01,30,5.5096,0
2009-10-12 18:00:01,30,5.50914,0
2009-10-12 18:15:01,30,5.51144,0
2009-10-12 18:30:01,30,5.51018,0
2009-10-12 18:45:01,30,5.50992,0
2009-10-12 19:00:01,30,5.50975,0
2009-10-12 19:15:01,30,5.51037,0
2009-10-12 19:30:01,30,5.51203,0
2009-10-12 19:45:01,30,5.50946,0
2009-10-12 20:00:01,30,5.50949,0
2009-10-12 20:15:01,30,5.50933,0
2009-10-12 20:30:01,30,5.50892,0
2009-10-12 20:45:01,30,5.5082,0
2009-10-12 21:00:01,30,5.50639,0
2009-10-12 21:15:01,30,5.50591,0
2009-10-12 21:30:01,30,5.50188,0
2009-10-12 21:45:01,30,5.49857,0
2009-10-12 22:00:01,30,5.4978,0
2009-10-12 22:15:01,30,5.49494,0
2009-10-12 22:30:01,30,5.49258,0
2009-10-12 22:45:01,30,5.49148,0
2009-10-12 23:00:01,30,5.48874,0
2009-10-12 23:15:01,30,5.48826,0
2009-10-12 23:30:01,30,5.48677,0
2009-10-12 23:45:01,30,5.48755,0
2009-10-13 00:00:01,30,5.48789,0
2009-10-13 00:15:01,30,5.48954,0
2009-10-13 00:30:01,30,5.49031,0
2009-10-13 00:45:01,30,5.49071,0
2009-10-13 01:00:01,30,5.49026,0
2009-10-13 01:15:01,30,5.49116,0
2009-10-13 01:30:01,30,5.49276,0
2009-10-13 01:45:01,30,5.49369,0
2009-10-13 02:00:01,30,5.49524,0
2009-10-13 02:15:01,30,5.49657,0
2009-10-13 02:30:01,30,5.49849,0
2009-10-13 02:45:01,30,5.49926,0
2009-10-13 03:00:01,30,5.50028,0
2009-10-13 03:15:01,30,5.50036,0
2009-10-13 03:30:01,30,5.49945,0
2009-10-13 03:45:01,30,5.50057,0
2009-10-13 04:00:01,30,5.50116,0
2009-10-13 04:15:01,30,5.50209,0
2009-10-13 04:30:01,30,5.50214,0
2009-10-13 04:45:01,30,5.50246,0
2009-10-13 05:00:01,30,5.50318,0
2009-10-13 05:15:01,30,5.50339,0
2009-10-13 05:30:01,30,5.50238,0
2009-10-13 05:45:01,30,5.50059,0
2009-10-13 06:00:01,30,5.50115,0
2009-10-13 06:15:01,30,5.50051,0
2009-10-13 06:30:01,30,5.50035,0
2009-10-13 06:45:01,30,5.50091,0
2009-10-13 07:00:01,30,5.49867,0
2009-10-13 07:15:01,30,5.49848,0
2009-10-13 07:30:01,30,5.49888,0
2009-10-13 07:45:01,30,5.49819,0
2009-10-13 08:00:01,30,5.49779,0
2009-10-13 08:15:01,30,5.49747,0
2009-10-13 08:30:01,30,5.49697,0
2009-10-13 08:45:01,30,5.49595,0
2009-10-13 09:00:01,30,5.49438,0
2009-10-13 09:15:01,30,5.49201,0
2009-10-13 09:30:01,30,5.48882,0
2009-10-13 09:45:01,30,5.48725,0
2009-10-13 10:00:01,30,5.48484,0
2009-10-13 10:15:01,30,5.4848,0
2009-10-13 10:30:01,30,5.48122,0
2009-10-13 10:45:01,30,5.48061,0
2009-10-13 11:00:01,30,5.47911,0
2009-10-13 11:15:01,30,5.47849,0
2009-10-13 11:30:01,30,5.47733,0
2009-10-13 11:45:01,30,5.47594,0
2009-10-13 12:00:01,30,5.47084,0
2009-10-13 12:15:01,30,5.46883,0
2009-10-13 12:30:01,30,5.46752,0
2009-10-13 12:45:01,30,5.46851,0
2009-10-13 13:00:01,30,5.4665,0
2009-10-13 13:15:01,30,5.46746,0
2009-10-13 13:30:01,30,5.46765,0
2009-10-13 13:45:01,30,5.46872,0
2009-10-13 14:00:01,30,5.46902,0
2009-10-13 14:15:01,30,5.4692,0
2009-10-13 14:30:01,30,5.47038,0
2009-10-13 14:45:01,30,5.47086,0
2009-10-13 15:00:01,30,5.47196,0
2009-10-13 15:15:01,30,5.47328,0
2009-10-13 15:30:01,30,5.4736,0
2009-10-13 15:45:01,30,5.47478,0
2009-10-13 16:00:01,30,5.47489,0
2009-10-13 16:15:01,30,5.47558,0
2009-10-13 16:30:01,30,5.47612,0
2009-10-13 16:45:01,30,5.47596,0
2009-10-13 17:00:01,30,5.47601,0
2009-10-13 17:15:01,30,5.4744,0
2009-10-13 17:30:01,30,5.47427,0
2009-10-13 17:45:01,30,5.47461,0
2009-10-13 18:00:01,30,5.47475,0
2009-10-13 18:15:01,30,5.47499,0
2009-10-13 18:30:01,30,5.47537,0
2009-10-13 18:45:01,30,5.47577,0
2009-10-13 19:00:01,30,5.47598,0
2009-10-13 19:15:01,30,5.47569,0
2009-10-13 19:30:01,30,5.47561,0
2009-10-13 19:45:01,30,5.47571,0
2009-10-13 20:00:01,30,5.47569,0
2009-10-13 20:15:01,30,5.47528,0
2009-10-13 20:30:01,30,5.47478,0
2009-10-13 20:45:01,30,5.47459,0
2009-10-13 21:00:01,30,5.47434,0
