%
% Platform OB27M
% Location 33 59.646 deg N  77 21.144 deg W
% Quality  0 = not evaluated, 1 = bad, 2 = suspect, 3 = good, -9 = missing
%
% sea_water_temperature (deg C)
% depth (m)
%
timestamp_utc,depth,sea_water_temperature,sea_water_temperature_quality
2006-05-18 20:15:01,15,20.6347,0
2006-05-18 20:30:01,15,20.6387,0
2006-05-18 20:45:01,15,20.6654,0
2006-05-18 21:00:01,15,20.6542,0
2006-05-18 21:15:01,15,20.6684,0
2006-05-18 21:30:01,15,20.6886,0
2006-05-18 21:45:01,15,20.6846,0
2006-05-18 22:00:01,15,20.7041,0
2006-05-18 22:15:01,15,20.7209,0
2006-05-18 22:30:01,15,20.717,0
2006-05-18 22:45:01,15,20.7483,0
2006-05-18 23:00:01,15,20.7596,0
2006-05-18 23:15:01,15,20.798,0
2006-05-18 23:30:01,15,20.8074,0
2006-05-18 23:45:01,15,20.8168,0
2006-05-19 00:00:01,15,20.8334,0
2006-05-19 00:15:01,15,20.8493,0
2006-05-19 00:30:01,15,20.8892,0
2006-05-19 00:45:01,15,20.9196,0
2006-05-19 01:00:01,15,21.0045,0
2006-05-19 01:15:01,15,21.0376,0
2006-05-19 01:30:01,15,21.0443,0
2006-05-19 01:45:01,15,21.0556,0
2006-05-19 02:00:01,15,21.0699,0
2006-05-19 02:15:01,15,21.0588,0
2006-05-19 02:30:01,15,21.0452,0
2006-05-19 02:45:01,15,21.0331,0
2006-05-19 03:00:01,15,21.031,0
2006-05-19 03:15:01,15,21.0226,0
2006-05-19 03:30:01,15,21.0036,0
2006-05-19 03:45:01,15,20.9565,0
2006-05-19 04:00:01,15,20.9139,0
2006-05-19 04:15:01,15,20.896,0
2006-05-19 04:30:01,15,20.8785,0
2006-05-19 04:45:01,15,20.8677,0
2006-05-19 05:00:01,15,20.8648,0
2006-05-19 05:15:01,15,20.8532,0
2006-05-19 05:30:01,15,20.8551,0
2006-05-19 05:45:01,15,20.847,0
2006-05-19 06:00:01,15,20.8423,0
2006-05-19 06:15:01,15,20.8368,0
2006-05-19 06:30:01,15,20.8322,0
2006-05-19 06:45:01,15,20.8293,0
2006-05-19 07:00:01,15,20.8209,0
2006-05-19 07:15:01,15,20.7969,0
